Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Median Gross Rents,Year
33990,31557.0,44.3,47374.0,22047.0,4292.0,13.600785879519599,1007.0,2015
33991,18626.0,43.9,52345.0,22670.0,2624.0,14.087834210243745,1157.0,2015
33993,22468.0,39.5,52099.0,23346.0,4282.0,19.058216129606553,1127.0,2015
34101,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,-666666666.0,2015
34102,11464.0,60.9,69464.0,84720.0,1451.0,12.657013258897418,924.0,2015
34103,12247.0,63.4,75926.0,67841.0,914.0,7.463052176043113,1287.0,2015
34104,24757.0,49.8,45818.0,26524.0,4232.0,17.094155188431554,962.0,2015
34105,15685.0,57.3,76360.0,57912.0,1508.0,9.614281160344278,1148.0,2015
34108,16548.0,62.9,75795.0,69625.0,1157.0,6.991781484167271,1209.0,2015
34109,24767.0,50.7,55443.0,44913.0,1702.0,6.872047482537247,1132.0,2015
34110,22052.0,62.7,71402.0,51670.0,1269.0,5.754580083439143,1308.0,2015
34112,24979.0,56.4,45795.0,28240.0,3137.0,12.558549181312303,902.0,2015
34113,18523.0,48.2,46190.0,30530.0,2840.0,15.332289585920208,988.0,2015
34114,14319.0,60.1,55756.0,33387.0,2158.0,15.070884838326698,1191.0,2015
34116,34956.0,31.6,43463.0,16758.0,8686.0,24.8483808216043,986.0,2015
34117,15015.0,40.9,59127.0,21727.0,1354.0,9.017649017649017,1153.0,2015
34119,28297.0,50.6,73529.0,45859.0,1881.0,6.647347775382549,1409.0,2015
34120,28748.0,37.3,72881.0,31555.0,1692.0,5.885626826213998,1426.0,2015
34134,13425.0,66.5,68800.0,69354.0,876.0,6.5251396648044695,1106.0,2015
34135,41640.0,50.7,53808.0,32975.0,8439.0,20.26657060518732,1106.0,2015
34141,55.0,43.0,-666666666.0,,28.0,50.90909090909091,-666666666.0,2015
34142,29450.0,26.6,28365.0,10128.0,11219.0,38.09507640067912,686.0,2015
34145,17148.0,64.6,73304.0,57808.0,1275.0,7.435269419174248,1491.0,2015
34201,3806.0,64.4,89045.0,59227.0,30.0,0.7882291119285338,1430.0,2015
34202,21871.0,47.4,89362.0,44595.0,1778.0,8.129486534680627,1723.0,2015
34203,36866.0,44.5,47917.0,24858.0,6803.0,18.453317419844844,992.0,2015
34205,29855.0,42.7,34155.0,20550.0,6600.0,22.106849773907218,841.0,2015
34207,33683.0,45.1,34713.0,19279.0,8086.0,24.00617522192204,795.0,2015
34208,37714.0,35.1,39723.0,18470.0,9688.0,25.68807339449541,871.0,2015
34209,33345.0,53.3,53852.0,30354.0,2826.0,8.475033738191632,1051.0,2015
34210,16271.0,50.1,45250.0,26297.0,1805.0,11.093356278040686,948.0,2015
34211,4627.0,52.5,89547.0,45672.0,325.0,7.023989626107629,1556.0,2015
34212,16032.0,45.0,91958.0,35645.0,716.0,4.466067864271457,1424.0,2015
34215,477.0,68.1,69492.0,43941.0,24.0,5.031446540880503,-666666666.0,2015
34216,1224.0,61.3,47917.0,35620.0,90.0,7.352941176470588,1110.0,2015
34217,4991.0,63.1,51326.0,45345.0,777.0,15.568022440392706,1151.0,2015
34219,20609.0,44.3,76427.0,30880.0,902.0,4.376728613712456,1611.0,2015
34221,40753.0,44.2,44090.0,23784.0,6846.0,16.79876328123083,862.0,2015
34222,10843.0,60.7,38396.0,27083.0,1195.0,11.020935165544591,920.0,2015
34223,16882.0,63.5,49502.0,33795.0,1555.0,9.210993958061842,855.0,2015
34224,15690.0,60.0,39882.0,25327.0,2302.0,14.67176545570427,855.0,2015
34228,7072.0,70.8,89087.0,93971.0,534.0,7.550904977375565,1743.0,2015
34229,7647.0,60.0,77772.0,49851.0,504.0,6.590819929384073,1086.0,2015
34231,29042.0,51.0,47127.0,35143.0,3508.0,12.07905791612148,1000.0,2015
34232,33261.0,46.1,52737.0,27677.0,3456.0,10.390547488049066,1145.0,2015
34233,17849.0,51.2,56915.0,33296.0,1561.0,8.745587988122583,1255.0,2015
34234,20519.0,44.2,31605.0,20683.0,5352.0,26.08314245333593,829.0,2015
34235,13716.0,52.6,51776.0,35651.0,1330.0,9.696704578594343,1093.0,2015
34236,11843.0,62.4,51028.0,55047.0,1700.0,14.354470995524782,947.0,2015
34237,17264.0,40.9,41305.0,21477.0,2857.0,16.548887859128822,961.0,2015
34238,18606.0,65.6,63203.0,46662.0,1402.0,7.535203697731914,1193.0,2015
34239,15310.0,48.6,49199.0,34915.0,1874.0,12.24036577400392,1054.0,2015
34240,11227.0,49.4,75639.0,39318.0,674.0,6.00338469760399,1241.0,2015
34241,14052.0,50.5,68074.0,38768.0,866.0,6.162823797324224,1304.0,2015
34242,8025.0,63.0,86610.0,70957.0,568.0,7.077881619937695,1252.0,2015
34243,27819.0,51.9,61885.0,33864.0,2101.0,7.552392249901147,1223.0,2015
34251,5348.0,43.1,69647.0,28590.0,851.0,15.912490650710547,,2015
34266,31543.0,37.0,34521.0,15482.0,9519.0,30.17785245537837,657.0,2015
34268,25.0,-666666666.0,-666666666.0,,0.0,0.0,-666666666.0,2015
34269,3498.0,64.3,39481.0,24819.0,623.0,17.81017724413951,867.0,2015
34275,17377.0,58.8,49768.0,36608.0,1602.0,9.219082695517063,924.0,2015
34285,18361.0,68.8,47617.0,41184.0,1413.0,7.6956592778171125,1025.0,2015
34286,21428.0,37.4,63019.0,23971.0,2505.0,11.690311741646443,1206.0,2015
34287,24274.0,58.3,42782.0,24143.0,2415.0,9.948916536211584,852.0,2015
34288,10749.0,44.6,44559.0,27207.0,2381.0,22.15089775793097,1040.0,2015
34289,2042.0,53.1,42451.0,30865.0,196.0,9.59843290891283,844.0,2015
34291,5533.0,43.5,50994.0,23813.0,413.0,7.464305078619194,999.0,2015
34292,15536.0,64.3,58610.0,35401.0,1172.0,7.543769309989702,1203.0,2015
34293,34343.0,58.5,50185.0,30515.0,2835.0,8.254957342107563,1074.0,2015
34420,15004.0,43.2,37113.0,21895.0,2620.0,17.462010130631832,743.0,2015
34428,9195.0,47.8,35493.0,21934.0,2198.0,23.904295812941815,746.0,2015
34429,6961.0,57.7,41715.0,29614.0,1318.0,18.93406119810372,729.0,2015
34431,7883.0,51.3,32469.0,19858.0,2031.0,25.764302930356465,650.0,2015
34432,12828.0,54.4,39611.0,21004.0,2645.0,20.61895852821952,857.0,2015
34433,5060.0,53.7,44653.0,26274.0,456.0,9.011857707509881,846.0,2015
34434,8089.0,50.7,48629.0,22840.0,952.0,11.769069106193596,1157.0,2015
34436,7589.0,53.7,31458.0,21026.0,1195.0,15.746475161417841,657.0,2015
34442,15025.0,60.5,42772.0,26071.0,2513.0,16.725457570715474,771.0,2015
34445,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,-666666666.0,2015
34446,16901.0,62.3,39085.0,23453.0,2020.0,11.951955505591386,993.0,2015
34448,10204.0,54.4,31243.0,19713.0,2716.0,26.61701293610349,592.0,2015
34449,2560.0,55.6,30833.0,20089.0,686.0,26.796875,617.0,2015
